timestamp=18010930112207, VA=00008000000e2000-00008000000e6000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031035027e0
timestamp=18010930168343, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803930
timestamp=18010930198349, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a4ae0
timestamp=18010930229017, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a4ae0
timestamp=18010930245879, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803930
timestamp=18010930955896, VA=000080010001f000-000080010001f008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103856e40
timestamp=18010942046708, VA=00008000000e6000-00008000000ea000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x603103508360
timestamp=18010942106220, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a4ae0
timestamp=18010942135445, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803930
timestamp=18010942166463, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18010942182594, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18010942863576, VA=0000800100020000-0000800100020008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103800090
timestamp=18010953927136, VA=00008000000ea000-00008000000ee000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036a5da0
timestamp=18010954010984, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18010954046892, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18010954078231, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18010954096986, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18010954783490, VA=0000800100021000-0000800100021008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x6031037a90a0
timestamp=18010965776076, VA=00008000000ee000-00008000000f2000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036a9d60
timestamp=18010965829336, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18010965864312, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18010965903045, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18010965925357, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18010966629664, VA=0000800100022000-0000800100022008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103926060
timestamp=18010977625607, VA=00008000000f2000-00008000000f6000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036aede0
timestamp=18010977683736, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18010977711278, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18010977741164, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18010977763086, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18010978517607, VA=0000800100023000-0000800100023008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103905270
timestamp=18010989529780, VA=00008000000f6000-00008000000fa000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036b4960
timestamp=18010989595234, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18010989626292, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18010989657030, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18010989674112, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18010990380252, VA=0000800100024000-0000800100024008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x60310374aff0
timestamp=18011001204291, VA=00008000000fa000-00008000000fe000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036ba4e0
timestamp=18011001264805, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18011001293569, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18011001322724, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18011001338213, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18011002057779, VA=0000800100025000-0000800100025008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x6031037eaa80
timestamp=18011012544633, VA=00008000000fe000-0000800000102000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036c0060
timestamp=18011012622580, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18011012659108, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
