timestamp=17853472447479, VA=0000800100013000-0000800100013020, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcbd2e0f0
timestamp=17853472466064, VA=0000800100014000-0000800100014020, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcbd31b30
timestamp=17853472479299, VA=0000800100015000-0000800100015010, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcbd32140
timestamp=17853472494768, VA=0000800100016000-0000800100016010, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcbd32670
timestamp=17853488339223, VA=000080010ce00000-000080011ce00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcc94eed0
timestamp=17853488354541, VA=000080010ce00000-000080011ce00000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc918a70
timestamp=17853488472814, VA=0000800000000000-000080000003c280, binding_type=bind, object_type=VK_OBJECT_TYPE_DESCRIPTOR_POOL, object_handle=0x611dcc8f4cd0
timestamp=17853488800842, VA=000080011ce00000-000080011ee00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcc982740
timestamp=17853488812003, VA=000080011ce00000-000080011ce30100, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc93c210
timestamp=17853488842971, VA=0000800102208000-0000800102210000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc984060
timestamp=17853488851427, VA=000080011ce30100-000080011ce60200, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc985890
timestamp=17853488872968, VA=0000800102210000-0000800102218000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc985970
timestamp=17853488885471, VA=000080011ce60200-000080011ce90300, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc987190
timestamp=17853488906321, VA=0000800102218000-0000800102220000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc987270
timestamp=17853488912582, VA=000080011ce90300-000080011cec0400, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc988af0
timestamp=17853488934624, VA=0000800102220000-0000800102228000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc988bd0
timestamp=17853488944573, VA=000080011cec0400-000080011cef0500, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc98a490
timestamp=17853488965462, VA=0000800102228000-0000800102230000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc98a570
timestamp=17853488971533, VA=000080011cef0500-000080011cf20600, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc98bda0
timestamp=17853488992122, VA=0000800102230000-0000800102238000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc98be80
timestamp=17853489011338, VA=000080011cf20600-000080011cf50700, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc98d6b0
timestamp=17853489034452, VA=0000800102238000-0000800102240000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcbd2ccb0
